loan_id,applicant_name,age,gender,marital_status,dependents,education_level,employment_type,employment_years,annual_income,loan_amount,loan_purpose,loan_term_months,interest_rate,credit_score,property_ownership,loan_status,application_date,debt_to_income_ratio,income_category,loan_status_approved
41,Applicant_41,59,Female,Married,4,High School,Salaried,1,574033.61,610805.93,Education,60,3.38,790,Rented,Approved,2025-12-20 21:51:24.033720,106.41,High,True
42,Applicant_42,38,Male,Married,3,Graduate,Salaried,2,866709.46,539523.52,Personal,24,10.01,741,Rented,Approved,2026-08-14 21:51:24.033728,62.25,High,True
43,Applicant_43,24,Female,Single,4,Graduate,Retired,8,755558.4,1087645.06,Education,120,6.5,629,Mortgage,Rejected,2026-02-11 21:51:24.033734,143.95,High,False
44,Applicant_44,45,Male,Married,2,Post-Graduate,Salaried,26,718925.38,112085.37,Business,36,3.0,600,Owned,Approved,2026-04-24 21:51:24.033739,15.59,High,True
45,Applicant_45,34,Female,Single,1,Under-Graduate,Salaried,19,150000.0,508195.32,Home,60,5.87,624,Rented,Approved,2026-02-03 21:51:24.033745,338.8,Upper-Middle,True
46,Applicant_46,29,Male,Married,1,Graduate,Salaried,5,332117.93,620776.63,Auto,84,10.3,578,Rented,Pending,2026-04-10 21:51:24.033750,186.91,High,False
47,Applicant_47,46,Female,Married,2,Under-Graduate,Salaried,12,1107062.69,428207.28,Business,36,3.0,691,Owned,Pending,2026-06-27 21:51:24.033755,38.68,High,False
48,Applicant_48,22,Female,Single,0,Post-Graduate,Salaried,1,1171702.51,125618.97,Home,84,10.73,745,Mortgage,Approved,2025-11-18 21:51:24.033761,10.72,High,True
49,Applicant_49,40,Female,Married,2,Graduate,Business Owner,30,150000.0,851988.78,Auto,36,9.49,674,Mortgage,Approved,2026-07-05 21:51:24.033767,567.99,Upper-Middle,True
50,Applicant_50,48,Female,Married,4,Graduate,Salaried,26,524112.73,594341.61,Auto,120,7.61,817,Rented,Approved,2025-09-16 21:51:24.033772,113.4,High,True
51,Applicant_51,27,Female,Married,0,Post-Graduate,Self-Employed,1,1278786.15,145268.92,Auto,36,3.0,822,Mortgage,Rejected,2026-08-16 21:51:24.033778,11.36,High,False
52,Applicant_52,64,Female,Divorced,3,Graduate,Salaried,2,562784.47,622827.03,Business,120,3.06,704,Owned,Approved,2026-04-14 21:51:24.033784,110.67,High,True
53,Applicant_53,28,Male,Single,4,High School,Salaried,0,805403.69,976438.5,Auto,24,7.11,736,Owned,Approved,2025-10-02 21:51:24.033790,121.24,High,True
54,Applicant_54,55,Female,Married,4,Under-Graduate,Retired,2,1426722.13,489831.54,Education,60,4.56,607,Owned,Approved,2026-04-06 21:51:24.033795,34.33,High,True
55,Applicant_55,34,Female,Married,4,High School,Salaried,13,705369.08,499380.45,Home,48,7.33,651,Rented,Approved,2025-11-19 21:51:24.033801,70.8,High,True
56,Applicant_56,37,Male,Married,2,Graduate,Business Owner,3,648112.24,939041.41,Personal,48,11.67,781,Mortgage,Approved,2026-04-14 21:51:24.033807,144.89,High,True
57,Applicant_57,56,Female,Single,4,High School,Self-Employed,0,787185.32,228292.49,Auto,36,7.54,633,Rented,Approved,2025-10-31 21:51:24.033813,29.0,High,True
58,Applicant_58,60,Female,Single,3,Post-Graduate,Salaried,3,1591364.32,983714.57,Business,60,7.45,798,Rented,Approved,2026-01-19 21:51:24.033818,61.82,High,True
59,Applicant_59,24,Female,Married,0,Graduate,Retired,31,1028480.73,772415.1,Business,36,7.45,769,Mortgage,Approved,2025-09-22 21:51:24.033825,75.1,High,True
60,Applicant_60,22,Male,Married,2,Graduate,Salaried,7,857632.65,241218.69,Home,48,12.05,740,Owned,Approved,2026-01-31 21:51:24.033831,28.13,High,True
61,Applicant_61,26,Male,Married,3,Graduate,Student,4,640256.02,312884.68,Personal,36,13.03,586,Mortgage,Approved,2025-09-03 21:51:24.033835,48.87,High,True
62,Applicant_62,62,Female,Single,1,Under-Graduate,Salaried,1,1065526.77,353052.41,Business,120,9.98,655,Owned,Rejected,2026-04-27 21:51:24.033838,33.13,High,False
63,Applicant_63,24,Female,Single,2,Post-Graduate,Student,34,1113879.91,50000.0,Auto,12,8.98,731,Owned,Rejected,2026-05-04 21:51:24.033842,4.49,High,False
64,Applicant_64,49,Male,Married,2,Graduate,Salaried,13,420728.6,572932.09,Home,36,9.3,601,Mortgage,Approved,2026-03-24 21:51:24.033845,136.18,High,True
65,Applicant_65,38,Female,Married,0,Post-Graduate,Self-Employed,2,1124651.28,253894.84,Debt Consolidation,36,13.5,664,Rented,Approved,2025-12-01 21:51:24.033849,22.58,High,True
66,Applicant_66,46,Female,Married,2,Graduate,Business Owner,0,789539.09,583034.37,Personal,48,10.17,740,Mortgage,Approved,2026-08-11 21:51:24.033853,73.84,High,True
67,Applicant_67,64,Male,Divorced,3,Post-Graduate,Retired,0,859919.45,138535.89,Home,36,13.83,634,Rented,Approved,2025-12-02 21:51:24.033857,16.11,High,True
68,Applicant_68,54,Female,Married,2,Graduate,Retired,1,496284.4,758443.71,Auto,48,7.03,612,Mortgage,Approved,2025-09-13 21:51:24.033860,152.82,High,True
69,Applicant_69,30,Male,Single,0,Under-Graduate,Business Owner,6,690007.19,706535.26,Personal,84,3.83,535,Rented,Approved,2026-01-21 21:51:24.033864,102.4,High,True
70,Applicant_70,56,Male,Single,0,Under-Graduate,Student,21,437943.09,302353.88,Business,60,6.16,649,Owned,Rejected,2025-10-13 21:51:24.033868,69.04,High,False
71,Applicant_71,34,Male,Married,1,Post-Graduate,Salaried,5,418712.73,600701.76,Personal,48,6.53,741,Mortgage,Approved,2026-01-02 21:51:24.033871,143.46,High,True
72,Applicant_72,51,Female,Married,4,Graduate,Salaried,14,1000836.09,523217.76,Auto,24,14.12,610,Owned,Approved,2026-07-26 21:51:24.033875,52.28,High,True
73,Applicant_73,35,Male,Married,1,Graduate,Salaried,4,707953.37,915043.86,Business,60,11.08,681,Mortgage,Approved,2025-11-16 21:51:24.033878,129.25,High,True
74,Applicant_74,28,Male,Single,2,Under-Graduate,Salaried,9,330144.93,210905.89,Auto,36,6.27,662,Mortgage,Rejected,2026-07-22 21:51:24.033882,63.88,High,False
75,Applicant_75,34,Male,Single,1,Graduate,Salaried,10,1720821.06,457356.57,Home,60,11.33,626,Mortgage,Approved,2026-05-17 21:51:24.033885,26.58,High,True
76,Applicant_76,43,Male,Single,1,Graduate,Self-Employed,1,400137.98,320608.58,Business,36,8.05,747,Mortgage,Rejected,2026-01-29 21:51:24.033889,80.12,High,False
77,Applicant_77,60,Female,Married,3,Graduate,Salaried,3,1286841.18,512549.1,Debt Consolidation,48,14.22,811,Owned,Approved,2025-11-21 21:51:24.033893,39.83,High,True
78,Applicant_78,41,Male,Married,3,Post-Graduate,Business Owner,8,259414.54,649316.61,Auto,48,7.33,760,Rented,Rejected,2026-04-08 21:51:24.033897,250.3,High,False
79,Applicant_79,36,Male,Divorced,0,Post-Graduate,Salaried,0,1032600.93,317493.93,Education,84,3.11,624,Rented,Pending,2026-01-01 21:51:24.033900,30.75,High,False
80,Applicant_80,38,Female,Single,1,Under-Graduate,Salaried,3,749775.85,398050.26,Business,24,7.85,839,Rented,Pending,2026-01-11 21:51:24.033904,53.09,High,False
81,Applicant_81,44,Male,Married,0,Graduate,Self-Employed,6,598377.31,770491.42,Education,48,7.33,760,Rented,Approved,2026-04-17 21:51:24.033907,128.76,High,True
82,Applicant_82,46,Male,Divorced,2,Graduate,Business Owner,35,928696.93,880050.91,Personal,24,3.8,643,Owned,Approved,2026-04-25 21:51:24.033911,94.76,High,True
83,Applicant_83,45,Male,Single,2,Under-Graduate,Business Owner,5,874903.94,638184.49,Personal,60,10.55,617,Rented,Approved,2026-07-06 21:51:24.033914,72.94,High,True
84,Applicant_84,61,Male,Single,0,Under-Graduate,Self-Employed,13,525013.93,461370.33,Home,84,13.49,769,Rented,Pending,2026-06-01 21:51:24.033918,87.88,High,False
85,Applicant_85,49,Male,Single,1,Graduate,Salaried,4,506904.45,434732.86,Debt Consolidation,48,4.57,693,Rented,Approved,2026-05-22 21:51:24.033921,85.76,High,True
86,Applicant_86,35,Male,Single,1,Post-Graduate,Self-Employed,12,220434.32,653475.37,Personal,48,11.9,611,Mortgage,Approved,2026-05-25 21:51:24.033925,296.45,High,True
87,Applicant_87,21,Male,Single,4,Graduate,Salaried,7,972225.75,563774.76,Personal,84,6.38,668,Owned,Approved,2026-02-21 21:51:24.033928,57.99,High,True
88,Applicant_88,45,Female,Married,4,High School,Salaried,17,348478.07,50000.0,Business,48,8.41,647,Owned,Approved,2025-12-15 21:51:24.033932,14.35,High,True
89,Applicant_89,27,Male,Married,0,Graduate,Self-Employed,4,851589.98,660267.87,Personal,48,8.05,614,Mortgage,Approved,2026-06-16 21:51:24.033936,77.53,High,True
90,Applicant_90,29,Female,Divorced,3,High School,Salaried,7,1086991.19,259040.46,Home,48,8.41,761,Rented,Approved,2025-08-31 21:51:24.033939,23.83,High,True
91,Applicant_91,44,Female,Married,1,Under-Graduate,Salaried,7,933222.01,103257.81,Auto,60,10.16,742,Mortgage,Approved,2025-11-19 21:51:24.033943,11.06,High,True
92,Applicant_92,21,Male,Married,1,Post-Graduate,Retired,4,560747.48,50000.0,Personal,24,4.92,747,Owned,Approved,2026-08-10 21:51:24.033946,8.92,High,True
93,Applicant_93,64,Female,Married,3,Graduate,Retired,1,1213524.96,439490.78,Home,60,13.03,745,Rented,Pending,2026-03-17 21:51:24.033950,36.22,High,False
94,Applicant_94,28,Male,Married,4,Post-Graduate,Salaried,0,686811.41,215373.18,Home,48,10.26,606,Owned,Rejected,2026-04-04 21:51:24.033954,31.36,High,False
95,Applicant_95,44,Female,Single,4,Post-Graduate,Salaried,0,316335.7,50000.0,Personal,24,11.42,631,Mortgage,Rejected,2025-10-18 21:51:24.033957,15.81,High,False
96,Applicant_96,31,Male,Divorced,2,Graduate,Salaried,16,736509.0,399632.46,Personal,60,5.77,796,Owned,Approved,2025-12-18 21:51:24.033962,54.26,High,True
97,Applicant_97,37,Male,Married,1,Under-Graduate,Salaried,2,1084718.95,362640.17,Home,48,4.6,688,Mortgage,Rejected,2026-03-21 21:51:24.033966,33.43,High,False
98,Applicant_98,28,Male,Married,3,High School,Retired,1,580234.27,458027.69,Personal,24,12.64,562,Rented,Approved,2025-09-13 21:51:24.033969,78.94,High,True
99,Applicant_99,55,Female,Married,1,Post-Graduate,Salaried,10,1201272.97,323908.57,Business,60,4.45,697,Rented,Approved,2026-07-10 21:51:24.033973,26.96,High,True
100,Applicant_100,55,Male,Single,2,Under-Graduate,Business Owner,3,541869.57,1012212.31,Education,84,9.02,732,Rented,Approved,2026-03-05 21:51:24.033977,186.8,High,True
101,Applicant_101,53,Female,Single,1,Graduate,Salaried,5,596314.72,644854.44,Personal,84,12.07,721,Rented,Approved,2025-10-05 21:51:24.033980,108.14,High,True
102,Applicant_102,25,Male,Married,2,Post-Graduate,Retired,1,431568.39,360108.27,Auto,120,8.06,604,Rented,Approved,2026-06-24 21:51:24.033983,83.44,High,True
103,Applicant_103,62,Female,Single,1,Graduate,Salaried,25,1123483.81,482184.49,Home,84,12.6,830,Mortgage,Pending,2025-11-12 21:51:24.033987,42.92,High,False
104,Applicant_104,59,Male,Single,0,Post-Graduate,Business Owner,15,828702.97,896099.95,Auto,12,7.55,559,Rented,Approved,2026-07-09 21:51:24.033990,108.13,High,True
105,Applicant_105,61,Female,Single,4,High School,Salaried,15,458095.22,767854.39,Education,48,4.03,688,Owned,Approved,2026-08-24 21:51:24.033994,167.62,High,True
106,Applicant_106,48,Male,Divorced,0,Under-Graduate,Self-Employed,4,691515.86,109060.69,Education,60,9.81,818,Owned,Approved,2026-05-01 21:51:24.033997,15.77,High,True
107,Applicant_107,27,Male,Married,2,Graduate,Salaried,11,150000.0,227198.64,Personal,48,9.19,727,Mortgage,Approved,2025-09-22 21:51:24.034001,151.47,Upper-Middle,True
108,Applicant_108,29,Male,Single,1,Graduate,Salaried,1,1161188.95,281082.88,Personal,60,17.91,746,Mortgage,Approved,2026-03-17 21:51:24.034005,24.21,High,True
109,Applicant_109,28,Male,Married,0,Post-Graduate,Retired,0,781701.34,376884.01,Education,60,5.19,595,Mortgage,Approved,2026-01-17 21:51:24.034009,48.21,High,True
110,Applicant_110,32,Female,Single,0,Post-Graduate,Retired,0,150000.0,333281.5,Personal,48,7.62,707,Mortgage,Rejected,2025-09-04 21:51:24.034013,222.19,Upper-Middle,False
111,Applicant_111,54,Male,Single,0,Under-Graduate,Student,7,267327.42,509522.59,Home,84,5.94,677,Mortgage,Approved,2026-03-25 21:51:24.034017,190.6,High,True
112,Applicant_112,53,Female,Single,3,Under-Graduate,Self-Employed,4,681362.37,706001.97,Home,48,8.0,589,Mortgage,Approved,2025-12-09 21:51:24.034020,103.62,High,True
113,Applicant_113,43,Male,Single,1,Post-Graduate,Business Owner,5,324331.7,752744.88,Personal,48,7.86,749,Mortgage,Rejected,2026-03-08 21:51:24.034024,232.09,High,False
114,Applicant_114,44,Male,Married,4,Graduate,Salaried,0,1167339.73,408496.74,Home,120,5.45,614,Rented,Rejected,2026-08-05 21:51:24.034027,34.99,High,False
115,Applicant_115,57,Male,Married,2,Graduate,Salaried,4,1017429.15,50000.0,Home,48,10.14,623,Owned,Rejected,2026-06-28 21:51:24.034030,4.91,High,False
116,Applicant_116,55,Male,Divorced,1,Graduate,Salaried,10,993814.38,208685.22,Business,36,7.75,714,Owned,Approved,2025-09-06 21:51:24.034034,21.0,High,True
117,Applicant_117,64,Female,Divorced,2,Graduate,Self-Employed,4,150000.0,354463.06,Auto,48,13.21,668,Owned,Approved,2025-10-11 21:51:24.034037,236.31,Upper-Middle,True
118,Applicant_118,60,Male,Married,2,Post-Graduate,Salaried,10,639816.63,151390.35,Personal,60,6.23,693,Rented,Approved,2026-04-16 21:51:24.034041,23.66,High,True
119,Applicant_119,42,Male,Married,3,Under-Graduate,Salaried,2,570953.42,819440.52,Auto,60,15.01,663,Owned,Rejected,2026-08-04 21:51:24.034044,143.52,High,False
120,Applicant_120,47,Female,Married,1,Under-Graduate,Self-Employed,13,468378.22,169728.5,Home,60,9.47,793,Mortgage,Rejected,2025-11-08 21:51:24.034048,36.24,High,False
121,Applicant_121,55,Female,Single,1,Graduate,Business Owner,7,683929.89,672777.65,Auto,60,12.95,605,Rented,Approved,2026-07-14 21:51:24.034051,98.37,High,True
122,Applicant_122,21,Male,Single,3,Graduate,Salaried,1,399504.72,50000.0,Education,36,8.9,642,Mortgage,Approved,2026-03-02 21:51:24.034055,12.52,High,True
123,Applicant_123,55,Male,Married,4,Graduate,Salaried,2,936088.29,684016.31,Auto,84,5.77,718,Mortgage,Rejected,2025-09-06 21:51:24.034058,73.07,High,False
124,Applicant_124,57,Female,Married,3,Graduate,Salaried,7,1156620.54,461004.76,Education,84,7.58,600,Mortgage,Approved,2025-09-04 21:51:24.034062,39.86,High,True
125,Applicant_125,34,Male,Single,1,Under-Graduate,Salaried,14,1122153.5,923508.6,Personal,36,3.65,597,Mortgage,Approved,2026-06-26 21:51:24.034065,82.3,High,True
126,Applicant_126,23,Male,Single,3,Graduate,Salaried,4,794835.5,183162.47,Debt Consolidation,24,8.11,691,Mortgage,Approved,2026-07-30 21:51:24.034069,23.04,High,True
127,Applicant_127,21,Male,Married,2,Post-Graduate,Self-Employed,2,1649695.88,342047.86,Auto,120,9.1,749,Owned,Approved,2025-09-05 21:51:24.034072,20.73,High,True
128,Applicant_128,25,Female,Single,2,Graduate,Self-Employed,16,1305990.05,396278.87,Education,84,8.66,759,Rented,Pending,2025-08-28 21:51:24.034075,30.34,High,False
129,Applicant_129,46,Female,Married,1,High School,Business Owner,8,809376.72,457299.98,Education,84,13.16,687,Owned,Approved,2026-05-24 21:51:24.034079,56.5,High,True
130,Applicant_130,34,Male,Married,2,Post-Graduate,Salaried,4,657091.12,403125.37,Debt Consolidation,84,7.98,626,Mortgage,Approved,2025-12-05 21:51:24.034083,61.35,High,True
131,Applicant_131,59,Male,Single,0,Graduate,Business Owner,5,1385210.87,408530.0,Debt Consolidation,48,3.0,702,Mortgage,Approved,2025-11-10 21:51:24.034086,29.49,High,True
132,Applicant_132,47,Male,Single,1,Post-Graduate,Salaried,1,1253032.27,403942.49,Home,60,18.0,725,Mortgage,Approved,2026-07-04 21:51:24.034090,32.24,High,True
133,Applicant_133,29,Female,Single,3,Under-Graduate,Self-Employed,7,285829.12,50000.0,Business,48,6.08,700,Rented,Approved,2026-03-28 21:51:24.034093,17.49,High,True
134,Applicant_134,35,Male,Single,1,High School,Business Owner,3,1284328.53,778133.66,Auto,24,11.89,778,Owned,Approved,2026-01-21 21:51:24.034096,60.59,High,True
135,Applicant_135,35,Male,Single,0,Graduate,Salaried,35,788250.59,1301118.24,Home,60,3.24,598,Owned,Approved,2026-03-08 21:51:24.034100,165.06,High,True
136,Applicant_136,46,Female,Married,0,High School,Salaried,5,505635.39,583515.91,Home,48,9.36,624,Rented,Approved,2026-05-24 21:51:24.034103,115.4,High,True
137,Applicant_137,62,Male,Married,4,High School,Student,5,150000.0,181989.76,Education,60,5.72,767,Rented,Rejected,2026-04-27 21:51:24.034107,121.33,Upper-Middle,False
138,Applicant_138,33,Female,Married,2,High School,Salaried,6,742433.52,210329.18,Education,48,3.0,562,Rented,Approved,2026-08-16 21:51:24.034110,28.33,High,True
139,Applicant_139,52,Male,Married,1,Post-Graduate,Business Owner,19,845108.97,671688.72,Home,48,7.51,636,Mortgage,Approved,2026-08-24 21:51:24.034113,79.48,High,True
140,Applicant_140,59,Male,Single,3,Post-Graduate,Salaried,12,1484931.06,607931.45,Business,36,8.32,621,Rented,Pending,2025-08-31 21:51:24.034117,40.94,High,False
141,Applicant_141,52,Male,Divorced,3,Post-Graduate,Business Owner,4,1232893.52,420398.77,Auto,36,7.73,554,Rented,Approved,2025-09-16 21:51:24.034120,34.1,High,True
142,Applicant_142,24,Female,Married,1,Under-Graduate,Salaried,10,616845.31,710953.22,Education,36,9.35,665,Mortgage,Rejected,2026-06-22 21:51:24.034123,115.26,High,False
143,Applicant_143,50,Female,Married,2,Post-Graduate,Salaried,7,1005736.96,50000.0,Auto,36,7.56,739,Owned,Approved,2026-04-05 21:51:24.034127,4.97,High,True
144,Applicant_144,57,Female,Single,3,Under-Graduate,Self-Employed,5,1180499.77,711137.4,Home,120,8.74,692,Rented,Rejected,2026-06-24 21:51:24.034130,60.24,High,False
145,Applicant_145,43,Male,Married,2,Post-Graduate,Salaried,1,884382.96,566573.13,Auto,36,9.1,743,Rented,Rejected,2026-06-07 21:51:24.034134,64.06,High,False
146,Applicant_146,59,Female,Single,0,Under-Graduate,Salaried,4,615138.34,221134.56,Home,36,8.38,775,Rented,Approved,2026-05-15 21:51:24.034137,35.95,High,True
147,Applicant_147,35,Male,Single,3,Under-Graduate,Salaried,2,637131.02,98669.3,Education,48,7.9,649,Rented,Rejected,2026-02-28 21:51:24.034141,15.49,High,False
148,Applicant_148,63,Male,Single,2,Graduate,Salaried,19,1004189.23,533971.64,Home,60,5.37,850,Rented,Pending,2025-09-22 21:51:24.034144,53.17,High,False
149,Applicant_149,49,Female,Married,1,Under-Graduate,Salaried,3,1015192.23,894026.68,Education,36,10.58,652,Owned,Approved,2026-05-15 21:51:24.034148,88.06,High,True
150,Applicant_150,56,Male,Married,1,Post-Graduate,Salaried,24,732818.15,436133.9,Home,60,7.51,662,Rented,Approved,2026-01-14 21:51:24.034151,59.51,High,True
151,Applicant_151,33,Male,Single,0,Under-Graduate,Retired,6,150000.0,261248.2,Business,60,7.23,623,Owned,Approved,2026-07-31 21:51:24.034155,174.17,Upper-Middle,True
152,Applicant_152,52,Male,Single,0,Post-Graduate,Salaried,7,333790.91,553560.71,Personal,36,10.29,723,Mortgage,Rejected,2026-08-12 21:51:24.034158,165.84,High,False
153,Applicant_153,27,Male,Married,3,Graduate,Self-Employed,6,1097875.57,1009844.11,Home,36,9.24,656,Owned,Approved,2025-11-24 21:51:24.034162,91.98,High,True
154,Applicant_154,42,Male,Single,0,High School,Salaried,1,150000.0,620763.95,Education,84,6.06,673,Mortgage,Approved,2025-09-29 21:51:24.034165,413.84,Upper-Middle,True
155,Applicant_155,48,Female,Married,1,Graduate,Salaried,3,1323672.41,651032.56,Home,60,12.88,663,Owned,Approved,2025-11-03 21:51:24.034168,49.18,High,True
156,Applicant_156,22,Male,Single,2,Under-Graduate,Retired,0,1264462.9,842383.62,Education,60,4.34,661,Owned,Approved,2026-07-05 21:51:24.034172,66.62,High,True
